target_grade,assignment_preference,trimester_or_semester,age,pay_rent,urinal_choice,stall_choice,weetbix_count,weekly_food_spend,living_arrangements,weekly_alcohol,believe_in_aliens,height,commute,daily_anxiety_frequency,weekly_study_hours,work_status,social_media,gender,average_daily_sleep,sleep_schedule,sibling_count,allergy_count,random_number,favourite_number,favourite_letter,drivers_license,dominant_hand,enrolled_unit,weekly_exercise_hours,weekly_paid_work_hours,assignments_on_time,used_r_before,team_role_type,university_year,wam
Pass,cram at the last second,NA,20,yes,C: Furthest from the entrance,A: Closest to the entrance,5,10,With parent(s) and/or sibling(s),I don't drink alcohol,Yes,160,"Train, Walk",10,2,I don't currently work,Instagram,Female,4,1,1,2,5,7,NONE,Yes,Right,DATA2002,0.5,0,Always,Yes,10,Second year,65
Fail,cram at the last second,semester,19,no,C: Furthest from the entrance,C: Furthest from the entrance,5,20,With parent(s) and/or sibling(s),Less than 5 standard drinks,Yes,183,"Train, Walk",2,10,Casual,NA,Male,8,8,1,0,8,6,J,Yes,Right,DATA2902,7,20,Always,Yes,6,Second year,86
High Distinction,draw up a schedule and work through it in planned stages,semester,21,yes,B: Middle,C: Furthest from the entrance,0,300,With partner,I don't drink alcohol,Yes,180,Walk,10,120,I don't currently work,Tiktok,Male,7,3,1,1,5,5,X,Yes,Ambidextrous,DATA2002,2,0,Always,Yes,3,Second year,75
High Distinction,draw up a schedule and work through it in planned stages,semester,20,no,C: Furthest from the entrance,C: Furthest from the entrance,NA,35,With parent(s) and/or sibling(s),I don't drink alcohol,Yes,163,"Train, Bus, Walk",5,NA,Contractor,Instagram,NA,7,1,1,NA,7,NA,J,Yes,Right,DATA2902,1,NA,Always,Yes,10,Second year,90
High Distinction,cram at the last second,semester,19,no,C: Furthest from the entrance,B: Middle,0,50,With parent(s) and/or sibling(s),Less than 5 standard drinks,No,156,Train,1,20,Casual,Other,Female,9,10,1,0,4,5,A,Yes,Right,DATA2002,8,20,Always,Yes,7,Second year,74
Distinction,do them immediately,semester,18,yes,C: Furthest from the entrance,A: Closest to the entrance,1,150,College or student accomodation,I don't drink alcohol,No,156,Walk,4,28,I don't currently work,Other,Female,6,4,0,1,2,2,S,No,Right,DATA2002,6,0,Usually,Yes,7,NA,77.3
High Distinction,do them immediately,semester,20,no,A: Closest to the entrance,A: Closest to the entrance,4,100,With parent(s) and/or sibling(s),Between 10 and 15 standard drinks,Yes,172.72,Train,5,20,Part time,Instagram,Male,8,7,2,NA,5,8,Π,Yes,Right,DATA2902,6,26,Always,Yes,7,Third year,92.4
Distinction,draw up a schedule and work through it in planned stages,semester,20,no,A: Closest to the entrance,B: Middle,2,250,Alone,I don't drink alcohol,Yes,178,"Train, Walk",3,15,Self employed,Instagram,Male,7,1,1,0,7,7,L,Yes,Right,DATA2902,2,5,NA,Yes,8,Second year,75
High Distinction,cram at the last second,semester,19,yes,C: Furthest from the entrance,C: Furthest from the entrance,7,30,With parent(s) and/or sibling(s),I don't drink alcohol,Yes,183,"Train, Walk",4,30,Casual,Instagram,NA,8,7,1,0,3,8,Z,Yes,Right,DATA2002,6,15,Always,Yes,8,Second year,73
High Distinction,draw up a schedule and work through it in planned stages,semester,19,yes,C: Furthest from the entrance,B: Middle,30,20,With parent(s) and/or sibling(s),I don't drink alcohol,No,160,Train,6,21,I don't currently work,Instagram,Female,8,10,2,0,2,2,G,No,Right,DATA2902,2,0,Always,Yes,8,Second year,85
High Distinction,do them immediately,semester,20,no,C: Furthest from the entrance,A: Closest to the entrance,4,NA,With parent(s) and/or sibling(s),I don't drink alcohol,Yes,180,Bus,2,NA,Part time,NA,Male,8,4,NA,NA,1,NA,NA,No,Right,DATA2902,2,NA,Always,Yes,NA,Second year,75
